,value,trip_class,origin,number_of_changes,gate,found_at,distance,destination,depart_date,airline,actual
83,8896.0,0,MOW,0.0,Ural Airlines,2022-02-09T09:00:03,0,LBD,2022-02-17,U6,True
84,6354.0,0,MOW,1.0,KupiBilet.ru,2022-02-07T03:32:02,0,BLL,2022-02-25,S7,True
85,14116.0,0,MOW,1.0,SuperSaver,2022-02-08T18:21:00,0,HSA,2022-02-27,TK,True
86,3674.0,0,MOW,0.0,SuperSaver,2022-02-09T10:27:15,0,DEB,2022-02-11,W6,True
87,8515.0,0,MOW,2.0,Kiwi.com,2022-02-03T15:06:26,0,ACE,2022-02-09,FR,True
88,10500.0,0,MOW,2.0,Kiwi.com,2022-02-04T17:40:49,0,IEG,2022-02-21,BT,True
89,6841.0,0,MOW,2.0,KupiBilet.ru,2022-02-09T08:51:05,0,FUE,2022-02-28,FR,True
90,13592.0,0,MOW,1.0,S7 Airlines,2022-02-09T10:20:33,0,GDX,2022-02-10,S7,True
91,7690.0,0,MOW,0.0,MEGO.travel,2022-02-09T10:19:11,0,BEG,2022-02-15,N4,True
92,9864.0,0,MOW,2.0,Kiwi.com,2022-02-06T20:46:13,0,SUJ,2022-02-16,DP,True
93,8963.0,0,MOW,1.0,Belavia,2022-02-09T09:54:17,0,BUS,2022-02-24,B2,True
94,10011.0,0,MOW,1.0,Kiwi.com,2022-02-09T10:14:02,0,DOH,2022-02-28,5W,True
95,8936.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T00:45:15,0,GRO,2022-02-19,DP,True
96,3045.0,0,MOW,0.0,Red Wings,2022-02-09T10:27:34,0,NMA,2022-02-21,WZ,True
97,8300.0,0,MOW,1.0,Kiwi.com,2022-02-09T10:09:24,0,SKP,2022-02-10,PC,True
98,4049.0,0,MOW,0.0,KupiBilet.ru,2022-02-09T10:17:22,0,KEJ,2022-02-19,DP,True
99,7924.0,0,MOW,1.0,OZON,2022-02-09T08:51:54,0,VKT,2022-02-14,KO,True
100,6045.0,0,MOW,1.0,Trip.com,2022-02-09T03:06:52,0,BRU,2022-02-09,A3,True
101,1549.0,0,MOW,0.0,KupiBilet.ru,2022-02-09T10:28:06,0,MCX,2022-02-10,DP,True
102,8360.0,0,MOW,2.0,Aviakassa,2022-02-08T13:11:22,0,SLY,2022-02-27,7R,True
103,13188.0,0,MOW,2.0,Kiwi.com,2022-02-07T05:34:12,0,MIR,2022-02-28,PC,True
104,9469.0,0,MOW,1.0,KupiBilet.ru,2022-02-08T21:53:00,0,BOM,2022-02-28,5W,True
105,9363.0,0,MOW,2.0,Kiwi.com,2022-02-07T13:49:43,0,BNX,2022-02-28,W6,True
106,5061.0,0,MOW,1.0,Trip.com,2022-02-09T07:40:46,0,MAD,2022-02-24,A3,True
107,2985.0,0,MOW,0.0,Utair,2022-02-09T09:26:13,0,SCW,2022-02-10,UT,True
108,2185.0,0,MOW,0.0,Utair,2022-02-09T10:28:11,0,AAQ,2022-02-15,UT,True
109,7197.0,0,MOW,2.0,Kiwi.com,2022-02-07T19:46:33,0,OLB,2022-02-21,A3,True
110,5929.0,0,MOW,2.0,Kiwi.com,2022-02-09T09:26:46,0,LON,2022-02-21,A3,True
111,12848.0,0,MOW,2.0,Kiwi.com,2022-02-09T05:29:05,0,TAT,2022-02-26,PC,True
112,4959.0,0,MOW,0.0,KupiBilet.ru,2022-02-09T10:20:41,0,SSH,2022-02-25,DP,True
113,7073.0,0,MOW,2.0,KupiBilet.ru,2022-02-09T04:17:46,0,FRA,2022-02-21,A3,True
114,6010.0,0,MOW,2.0,Trip.com,2022-02-09T10:25:36,0,PMO,2022-02-21,A3,True
115,10052.0,0,MOW,3.0,KupiBilet.ru,2022-02-03T12:41:57,0,LUZ,2022-02-25,S7,True
116,15140.0,0,MOW,2.0,Kiwi.com,2022-02-07T19:28:04,0,BSR,2022-02-13,DP,True
117,13624.0,0,MOW,2.0,KupiBilet.ru,2022-02-05T14:16:03,0,СЕН,2022-02-10,5N,True
118,12217.0,0,MOW,2.0,Kiwi.com,2022-02-08T02:23:56,0,DMB,2022-02-17,5W,True
119,6403.0,0,MOW,2.0,Kiwi.com,2022-02-09T10:26:31,0,OSL,2022-02-16,DP,True
120,6327.0,0,MOW,1.0,Kiwi.com,2022-02-07T15:18:31,0,MQM,2022-02-17,PC,True
121,11763.0,0,MOW,2.0,City.Travel,2022-02-02T20:17:03,0,AAL,2022-02-17,AY,True
122,4092.0,0,MOW,1.0,SuperKassa.ru,2022-02-08T10:43:45,0,IWA,2022-02-14,UT,True
123,12515.0,0,MOW,2.0,Kiwi.com,2022-02-05T22:12:27,0,VGO,2022-02-27,S7,True
124,7448.0,0,MOW,2.0,Kiwi.com,2022-02-04T17:00:15,0,DNZ,2022-02-17,UT,True
125,7146.0,0,MOW,2.0,Kiwi.com,2022-02-09T07:02:32,0,RAK,2022-02-28,A3,True
126,5760.0,0,MOW,2.0,KupiBilet.ru,2022-02-09T10:02:01,0,CTA,2022-02-21,A3,True
127,1915.0,0,MOW,0.0,S7 Airlines,2022-02-09T09:59:11,0,NVI,2022-02-13,S7,True
128,1278.0,0,MOW,0.0,SuperKassa.ru,2022-02-09T10:26:57,0,KRR,2022-02-17,A4,True
129,12552.0,0,MOW,2.0,KupiBilet.ru,2022-02-08T18:55:39,0,DZN,2022-02-12,B2,True
130,5474.0,0,MOW,2.0,Kiwi.com,2022-02-08T16:42:55,0,SUF,2022-02-28,A3,True
131,14346.0,0,MOW,2.0,SuperSaver,2022-02-07T21:13:41,0,RAJ,2022-02-21,5W,True
132,8090.0,0,MOW,1.0,Kiwi.com,2022-02-05T15:00:49,0,DIY,2022-02-25,PC,True
133,6699.0,0,MOW,2.0,KupiBilet.ru,2022-02-05T13:01:52,0,NOC,2022-02-09,FR,True
134,6272.0,0,MOW,2.0,KupiBilet.ru,2022-02-08T21:45:12,0,AQJ,2022-02-21,FR,True
135,9858.0,0,MOW,2.0,KupiBilet.ru,2022-02-05T09:31:59,0,BIQ,2022-02-14,W6,True
136,10547.0,0,MOW,1.0,Kiwi.com,2022-02-05T13:13:32,0,PEW,2022-02-08,5W,True
137,10527.0,0,MOW,1.0,SuperKassa.ru,2022-02-09T04:49:58,0,AKX,2022-02-28,IQ,True
138,6010.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T10:27:58,0,BUD,2022-02-16,DP,True
139,5996.0,0,MOW,2.0,Kiwi.com,2022-02-09T09:47:02,0,PAR,2022-02-28,A3,True
140,5589.0,0,MOW,0.0,Ural Airlines,2022-02-09T10:27:07,0,FRU,2022-02-14,U6,True
141,13653.0,0,MOW,1.0,Kiwi.com,2022-02-03T11:27:44,0,DMM,2022-02-23,DP,True
142,6105.0,0,MOW,2.0,KupiBilet.ru,2022-02-06T12:09:23,0,AES,2022-02-09,DP,True
143,11907.0,0,MOW,2.0,Kiwi.com,2022-02-08T15:33:33,0,EBL,2022-02-24,PC,True
144,9675.0,0,MOW,2.0,Kiwi.com,2022-02-08T12:33:39,0,SCO,2022-02-28,5W,True
145,4905.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T10:27:42,0,NQZ,2022-02-15,5W,True
146,9853.0,0,MOW,1.0,SuperSaver,2022-02-09T10:15:23,0,NAJ,2022-02-28,TK,True
147,9288.0,0,MOW,2.0,Kiwi.com,2022-02-08T11:34:51,0,SZZ,2022-02-11,DP,True
148,1915.0,0,MOW,0.0,Aviakassa,2022-02-09T10:27:03,0,SKD,2022-02-11,S7,True
149,11224.0,0,MOW,1.0,Kiwi.com,2022-02-09T09:11:59,0,KHI,2022-02-23,N4,True
150,10822.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T04:19:44,0,BQS,2022-02-28,DP,True
151,1888.0,0,MOW,0.0,SuperKassa.ru,2022-02-09T10:25:24,0,KUF,2022-02-14,N4,True
152,9634.0,0,MOW,1.0,SuperKassa.ru,2022-02-09T10:07:05,0,KYZ,2022-02-21,5N,True
153,9738.0,0,MOW,1.0,Kiwi.com,2022-02-08T14:34:08,0,INN,2022-02-13,DP,True
154,3394.0,0,MOW,1.0,KupiBilet.ru,2022-02-08T19:44:43,0,MCT,2022-02-15,5W,True
155,3149.0,0,MOW,0.0,KupiBilet.ru,2022-02-09T10:08:11,0,TOF,2022-02-11,DP,True
156,7498.0,0,MOW,2.0,Kiwi.com,2022-02-09T07:07:18,0,NAV,2022-02-27,N4,True
157,4447.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T10:27:10,0,BAK,2022-02-28,5W,True
158,11467.0,0,MOW,2.0,Aviakassa,2022-02-03T21:49:11,0,MAA,2022-02-27,5W,True
159,5342.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T03:16:23,0,BLQ,2022-02-21,A3,True
160,9571.0,0,MOW,2.0,Kiwi.com,2022-02-08T13:09:53,0,HAJ,2022-02-20,PC,True
161,12156.0,0,MOW,1.0,Air Serbia,2022-02-09T09:23:06,0,TIV,2022-02-23,JU,True
162,9534.0,0,MOW,2.0,SuperSaver,2022-02-09T09:33:03,0,KLX,2022-02-28,A3,True
163,12772.0,0,MOW,2.0,Kiwi.com,2022-02-03T08:31:42,0,LBA,2022-02-10,FR,True
164,4959.0,0,MOW,0.0,OneTwoTrip,2022-02-09T10:27:47,0,DXB,2022-02-11,DP,True
165,12053.0,0,MOW,2.0,Kiwi.com,2022-02-03T17:59:20,0,ESK,2022-02-21,XC,True
166,5076.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T09:12:19,0,VCE,2022-02-21,A3,True
167,10213.0,0,MOW,2.0,KupiBilet.ru,2022-02-09T07:07:14,0,KSN,2022-02-13,5W,True
168,4970.0,0,MOW,1.0,Utair,2022-02-07T17:00:39,0,OVS,2022-02-25,UT,True
169,5760.0,0,MOW,2.0,KupiBilet.ru,2022-02-09T09:44:49,0,SOF,2022-02-21,A3,True
170,10080.0,0,MOW,2.0,KupiBilet.ru,2022-02-08T19:26:31,0,REK,2022-02-16,DP,True
171,8325.0,0,MOW,2.0,Kiwi.com,2022-02-07T08:06:57,0,SNN,2022-02-28,N4,True
172,6628.0,0,MOW,1.0,KupiBilet.ru,2022-02-08T15:02:59,0,CHQ,2022-02-10,S7,True
173,13933.0,0,MOW,1.0,S7 Airlines,2022-02-09T10:23:07,0,VVO,2022-02-10,S7,True
174,10704.0,0,MOW,2.0,KupiBilet.ru,2022-02-07T20:54:50,0,NLV,2022-02-08,DP,True
175,13254.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T09:43:04,0,BTK,2022-02-23,N4,True
176,11641.0,0,MOW,2.0,Mytrip.com,2022-02-07T12:57:44,0,AMD,2022-02-25,5W,True
177,1499.0,0,MOW,0.0,Red Wings,2022-02-09T10:17:51,0,EGO,2022-02-25,WZ,True
178,9782.0,0,MOW,1.0,Kiwi.com,2022-02-09T08:53:19,0,TBZ,2022-02-14,PC,True
179,3549.0,0,MOW,0.0,OneTwoTrip,2022-02-09T10:25:31,0,PFO,2022-02-16,DP,True
180,6351.0,0,MOW,2.0,KupiBilet.ru,2022-02-04T17:52:50,0,KTW,2022-02-28,A3,True
181,7541.0,0,MOW,2.0,City.Travel,2022-02-08T16:47:31,0,IBZ,2022-02-24,A3,True
182,2649.0,0,MOW,0.0,KupiBilet.ru,2022-02-09T09:49:20,0,TOX,2022-02-17,DP,True
183,2210.0,0,MOW,0.0,MEGO.travel,2022-02-09T08:48:19,0,OSW,2022-02-16,N4,True
184,6723.0,0,MOW,1.0,KupiBilet.ru,2022-02-08T19:42:29,0,AXD,2022-02-24,A3,True
185,13243.0,0,MOW,1.0,Kiwi.com,2022-02-04T07:51:26,0,EXT,2022-02-11,SU,True
186,3983.0,0,MOW,1.0,OneTwoTrip,2022-02-09T10:21:51,0,OSS,2022-02-27,A4,True
187,12653.0,0,MOW,1.0,KupiBilet.ru,2022-02-04T09:39:20,0,TLK,2022-02-25,DP,True
188,7402.0,0,MOW,1.0,Kiwi.com,2022-02-08T14:47:16,0,VAS,2022-02-21,PC,True
189,12649.0,0,MOW,0.0,City.Travel,2022-02-09T09:56:55,0,KGF,2022-02-24,KC,True
190,2349.0,0,MOW,0.0,OneTwoTrip,2022-02-09T10:04:18,0,PES,2022-02-14,DP,True
191,12937.0,0,MOW,2.0,Kiwi.com,2022-02-07T20:32:58,0,GIB,2022-02-15,S7,True
192,3485.0,0,MOW,0.0,Utair,2022-02-09T08:20:45,0,GRV,2022-02-24,UT,True
193,6758.0,0,MOW,1.0,OneTwoTrip,2022-02-07T05:40:31,0,EZV,2022-02-09,UT,True
194,9064.0,0,MOW,2.0,Kiwi.com,2022-02-04T05:08:28,0,BFS,2022-02-23,FR,True
195,6175.0,0,MOW,0.0,MEGO.travel,2022-02-09T10:25:44,0,VAR,2022-02-20,S7,True
196,5309.0,0,MOW,0.0,OneTwoTrip,2022-02-09T09:45:15,0,SHJ,2022-02-23,N4,True
197,14955.0,0,MOW,2.0,City.Travel,2022-02-03T11:40:06,0,SGD,2022-02-10,AY,True
198,5867.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T10:14:26,0,MLA,2022-02-16,DP,True
199,5582.0,0,MOW,1.0,SuperSaver,2022-02-08T20:05:01,0,CFU,2022-02-28,A3,True
200,5641.0,0,MOW,0.0,SuperKassa.ru,2022-02-09T10:22:54,0,VGD,2022-02-21,ВГ,True
201,11882.0,0,MOW,2.0,Kiwi.com,2022-02-08T11:32:22,0,JER,2022-02-20,DP,True
202,10349.0,0,MOW,2.0,KupiBilet.ru,2022-02-02T11:12:08,0,KIR,2022-02-12,DP,True
203,14224.0,0,MOW,1.0,City.Travel,2022-02-07T20:53:00,0,FSC,2022-02-22,AF,True
204,6524.0,0,MOW,4.0,KupiBilet.ru,2022-02-08T17:16:56,0,ECN,2022-02-27,DP,True
205,1649.0,0,MOW,0.0,Aviakassa,2022-02-09T10:26:06,0,OGZ,2022-02-14,DP,True
206,7438.0,0,MOW,1.0,City.Travel,2022-02-09T01:25:00,0,GOT,2022-02-20,AY,True
207,6526.0,0,MOW,2.0,KupiBilet.ru,2022-02-09T08:22:24,0,VLC,2022-02-21,A3,True
208,13502.0,0,MOW,3.0,KupiBilet.ru,2022-02-08T16:06:19,0,OHD,2022-02-21,A3,True
209,14625.0,0,MOW,2.0,KupiBilet.ru,2022-02-04T20:31:34,0,TDK,2022-02-22,DP,True
210,1435.0,0,MOW,0.0,Utair,2022-02-09T10:28:13,0,KGD,2022-02-12,UT,True
211,7019.0,0,MOW,1.0,Trip.com,2022-02-09T04:29:40,0,EAP,2022-02-26,W6,True
212,6283.0,0,MOW,1.0,Kiwi.com,2022-02-08T21:41:45,0,ASR,2022-02-21,PC,True
213,1915.0,0,MOW,0.0,Biletix,2022-02-09T10:28:10,0,BHK,2022-02-23,S7,True
214,7018.0,0,MOW,3.0,KupiBilet.ru,2022-02-08T07:53:40,0,LPL,2022-02-28,A3,True
215,11622.0,0,MOW,1.0,Aviakassa,2022-02-07T13:56:04,0,KAO,2022-02-11,AY,True
216,8099.0,0,MOW,0.0,KupiBilet.ru,2022-02-09T10:15:39,0,IKT,2022-02-28,DP,True
217,4627.0,0,MOW,1.0,KupiBilet.ru,2022-02-08T19:55:34,0,URJ,2022-02-16,DP,True
218,4322.0,0,MOW,1.0,Aviakassa,2022-02-09T10:27:21,0,IST,2022-02-26,WZ,True
219,6371.0,0,MOW,3.0,KupiBilet.ru,2022-02-09T09:17:39,0,TRN,2022-02-21,A3,True
220,6439.0,0,MOW,2.0,Trip.com,2022-02-07T08:26:26,0,SCQ,2022-02-14,A3,True
221,4960.0,0,MOW,0.0,MEGO.travel,2022-02-09T10:10:23,0,SKG,2022-02-16,S7,True
222,8026.0,0,MOW,0.0,SuperKassa.ru,2022-02-09T09:38:27,0,LLK,2022-02-13,N4,True
223,6781.0,0,MOW,1.0,SuperSaver,2022-02-09T08:09:41,0,HER,2022-02-24,A3,True
224,6367.0,0,MOW,2.0,KupiBilet.ru,2022-02-03T11:57:10,0,TPS,2022-02-28,A3,True
225,4847.0,0,MOW,1.0,Trip.com,2022-02-09T10:16:29,0,ROM,2022-02-24,A3,True
226,8437.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T09:54:08,0,TGD,2022-02-25,N4,True
227,7794.0,0,MOW,2.0,Kiwi.com,2022-02-08T16:56:55,0,AGP,2022-02-19,DP,True
228,9591.0,0,MOW,2.0,KupiBilet.ru,2022-02-07T17:32:13,0,ХЖР,2022-02-26,DP,True
229,6081.0,0,MOW,2.0,KupiBilet.ru,2022-02-08T16:42:22,0,BTS,2022-02-28,A3,True
230,14361.0,0,MOW,2.0,Kiwi.com,2022-02-08T20:09:10,0,CGP,2022-02-10,5W,True
231,6175.0,0,MOW,1.0,Aviakassa,2022-02-09T06:55:10,0,STO,2022-02-26,AY,True
232,8097.0,0,MOW,2.0,Kiwi.com,2022-02-09T09:02:14,0,CIT,2022-02-28,5W,True
233,1915.0,0,MOW,0.0,Biletix,2022-02-09T09:59:09,0,KSQ,2022-02-21,S7,True
234,2035.0,0,MOW,0.0,Rusline,2022-02-09T10:12:43,0,TBW,2022-02-11,7R,True
235,13379.0,0,MOW,2.0,Kiwi.com,2022-02-06T18:42:11,0,JIK,2022-02-17,PC,True
236,4585.0,0,MOW,0.0,Rusline,2022-02-08T18:38:12,0,JOK,2022-02-16,7R,True
237,10436.0,0,MOW,1.0,Kiwi.com,2022-02-09T05:53:17,0,SZG,2022-02-19,N4,True
238,9679.0,0,MOW,2.0,Kiwi.com,2022-02-03T20:20:50,0,MSR,2022-02-12,DP,True
239,2107.0,0,MOW,0.0,SuperKassa.ru,2022-02-09T10:15:03,0,OMS,2022-02-13,N4,True
240,2049.0,0,MOW,0.0,KupiBilet.ru,2022-02-09T10:25:57,0,NAL,2022-02-11,DP,True
241,2049.0,0,MOW,0.0,KupiBilet.ru,2022-02-09T10:24:17,0,CSY,2022-02-17,DP,True
242,14446.0,0,MOW,1.0,KupiBilet.ru,2022-02-08T11:29:58,0,CWL,2022-02-18,S7,True
243,8146.0,0,MOW,1.0,Kiwi.com,2022-02-07T18:57:11,0,LYS,2022-02-10,PC,True
244,8063.0,0,MOW,2.0,KupiBilet.ru,2022-02-08T10:38:07,0,NCE,2022-02-26,W6,True
245,2049.0,0,MOW,0.0,KupiBilet.ru,2022-02-09T10:27:05,0,SVX,2022-02-11,DP,True
